ISBN,Title,Author,Book Type,Original Price,Discount Price,ISBN-10,Published Date,Publisher,Number Of Pages
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil ,C. S. Lewis,Paperback,19.99,18.25,0007461240,2012-07-01,HarperCollins Publishers,224
9780307762528,Book not found,,,,,,,,
9780743422277,Star Trek The Original Series: Rihannsu #3: Swordhunt,Diane Duane,ePUB,5.99,5.99,0743422279,2001-12-03,Pocket Books/Star Trek,256
9780241290002,Familiar Stranger A Life between Two Islands,Stuart Hall,ePUB,15.99,15.99,0241290007,2017-04-06,Penguin Books Ltd,256
9780061763403,Book not found,,,,,,,,
9780463983096,Across the Seas,Griff Hosker,ePUB,9.19,9.19,0463983092,2019-03-04,Griff Hosker,
9780241365984,American Royals,Katharine McGee,ePUB,9.99,9.99,0241365988,2019-09-01,Penguin Random House Children's UK,368
9781322117171,Book not found,,,,,,,,
9780141911717,Homage to Catalonia,George Orwell,ePUB,15.99,15.99,0141911719,2003-06-05,Penguin Books Ltd,272
9780141930169,The Twits,"Roald Dahl, Quentin Blake (Illustrator)",ePUB,9.99,9.99,0141930160,2007-09-06,Penguin Random House Children's UK,112
9781250316783,Book not found,,,,,,,,
9780748115358,The Great Hunt Wheel of Time: Book 2,Robert Jordan,ePUB,11.99,11.99,0748115358,2009-11-17,"Little, Brown Book Group",736
9780141342436,Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,ePUB,9.99,9.99,0141342439,2015-10-06,Penguin Random House Children's UK,528
9780141903125,Boy Tales of Childhood,"Roald Dahl, Quentin Blake (Illustrator)",ePUB,9.99,9.99,0141903120,2008-09-04,Penguin Random House Children's UK,192
9780141928685,Angels,Marian Keyes,ePUB,15.99,15.99,0141928689,2005-03-31,Penguin Books Ltd,496
9780755386390,The Lost (Paula Maguire 1) A gripping Irish crime thriller with explosive twists,Claire McGowan,ePUB,11.99,11.99,0755386396,2013-04-11,Headline,305
9780230739673,Book not found,,,,,,,,
9781310517228,Anxiety Panicking about Panic,Joshua Fletcher,ePUB,9.38,9.38,1310517223,2016-03-22,Joshua Fletcher,
9780698137653,George Washington's Secret Six The Spy Ring That Saved the American Revolution,"Brian Kilmeade, Don Yaeger",ePUB,22.29,17.99,0698137655,2013-11-05,Penguin Publishing Group,288
9780956308641,Book not found,,,,,,,,
9781405921107,Jamie's Food Tube The Pasta Book,Gennaro Contaldo,ePUB,14.99,14.99,1405921102,2015-07-02,Penguin Books Ltd,128
9780575087057,The Name of the Wind Kingkiller Chronicles: Book 1,Patrick Rothfuss,ePUB,12.99,12.99,0575087056,2010-04-22,Orion,672
9780440336358,Darkfever Fever Series Book 1,Karen Marie Moning,ePUB,14.66,11.99,044033635X,2006-10-31,Random House Publishing Group,
9780755332557,Kiss ,Jill Mansell,Paperback,26.99,26.4,0755332555,2007-05-10,Headline,512
9780470901038,"Business Model Generation A Handbook for Visionaries, Game Changers, and Challengers",Alexander Osterwalder,PDF,45.09,45.09,0470901039,2010-07-23,Wiley Professional Development (P&T),288
9780698185890,Book not found,,,,,,,,
9780857202994,"The Night Stalker A brilliant serial killer thriller, featuring the unstoppable Robert Hunter",Chris Carter,ePUB,12.99,12.99,0857202995,2011-08-18,Simon & Schuster UK,464
9780446539654,The Jury Master,Robert Dugoni,ePUB,17.99,17.99,0446539651,2008-07-15,Grand Central Publishing,300
9781310869686,Book not found,,,,,,,,
9780241242643,The Book of Why The New Science of Cause and Effect,"Judea Pearl, Dana Mackenzie",ePUB,16.99,16.99,0241242649,2018-05-15,Penguin Books Ltd,400
9780748109265,Blow Fly,Patricia Cornwell,ePUB,11.99,11.99,0748109269,2008-09-04,"Little, Brown Book Group",544
9780241980750,The Sapphire Widow The Enchanting Richard & Judy Book Club Pick 2018,Dinah Jefferies,ePUB,15.99,15.99,0241980755,2018-04-05,Penguin Books Ltd,400
9780330469364,Book not found,,,,,,,,
9780241379011,Couples That Work How To Thrive in Love and at Work,Jennifer Petriglieri,ePUB,18.99,18.99,0241379016,2019-10-10,Penguin Books Ltd,304
9780575088436,Time of Contempt The bestselling novel which inspired season 3 of Netflix's The Witcher,"Andrzej Sapkowski, David French (Translator)",ePUB,12.99,12.99,0575088435,2013-06-24,Orion,320
9781405927697,Typhoon Fury Oregon Files #12,"Clive Cussler, Boyd Morrison",ePUB,15.99,15.99,1405927690,2017-11-16,Penguin Books Ltd,480
9780755350841,The Eagle's Conquest (Eagles of the Empire 2) Cato & Macro: Book 2,Simon Scarrow,ePUB,12.99,12.99,0755350847,2008-09-04,Headline,448
9781101117996,The Divine Comedy,"Dante Alighieri, John Ciardi (Translator)",ePUB,25.7,20.99,1101117990,2003-05-27,Penguin Publishing Group,928
9781101209356,A Maiden's Grave,Jeffery Deaver,ePUB,14.66,11.99,1101209356,2000-01-01,Penguin Publishing Group,
9780755373970,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,ePUB,11.99,11.99,0755373979,2012-01-05,Headline,451
9780755380558,The Snow Child The Richard and Judy Bestseller,Eowyn Ivey,ePUB,12.99,12.99,075538055X,2012-02-01,Headline,318
9780439023481,The Hunger Games (USA Edition) The Hunger Games Trilogy : Book 1,Suzanne Collins,Hardcover,40.95,40.95,0439023483,2008-10-01,Scholastic US,384
9781250232984,Made Things,Adrian Tchaikovsky,ePUB,6.22,5.99,1250232988,2019-11-05,Tor Publishing Group,
9780141926902,Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,ePUB,12.99,12.99,0141926902,2008-05-01,Penguin Random House Children's UK,288
9780571333141,"Conversations with Friends 'Brilliant, funny and startling.' GUARDIAN",Sally Rooney,ePUB,16.49,14.99,0571333141,2017-05-25,Faber & Faber,272
9781407035536,Strata,Terry Pratchett,ePUB,14.99,14.99,1407035533,2009-11-24,Transworld,288
9780141966151,Misbehaving The Making of Behavioural Economics,Richard H. Thaler,ePUB,16.99,16.99,0141966157,2015-05-07,Penguin Books Ltd,256
9780230225916,Book not found,,,,,,,,
9780804141116,Book not found,,,,,,,,
9780141929385,My East End Memories of Life in Cockney London,Gilda O'Neill,ePUB,15.99,15.99,0141929383,2000-09-28,Penguin Books Ltd,384
9781471144011,Book not found,,,,,,,,
9780141964089,The Promise,Lesley Pearse,ePUB,15.99,15.99,0141964081,2012-01-19,Penguin Books Ltd,528
9780141929576,Artemis Fowl and The Arctic Incident The Arctic Incident,Eoin Colfer,ePUB,9.99,9.99,014192957X,2002-06-06,Penguin Random House Children's UK,336
9780141957869,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,ePUB,15.99,15.99,0141957867,2010-09-02,Penguin Books Ltd,304
9780141929743,Excalibur A Novel of Arthur,Bernard Cornwell,ePUB,15.99,15.99,014192974X,2007-11-01,Penguin Books Ltd,496
9780544836730,Myers+Chang at Home Recipes from the Beloved Boston Eatery,"Joanne Chang, Karen Akunowicz",ePUB,46.19,36.99,0544836731,2024-03-19,HarperCollins,320
9781328527905,Book not found,,,,,,,,
9780307965493,Mastering Color Knitting,Melissa Leapman,ePUB,15.42,12.99,030796549X,2011-07-13,Clarkson Potter/Ten Speed,
9780547928517,Book not found,,,,,,,,
9780646987286,How I Became The Fittest Woman On Earth My Story So Far,Tia-Clair Toomey,ePUB,17.59,16.99,0646987283,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
